Type,IP,Name,ID,Time,Page,Message,LogNumber,TimeToLog
"Low Urgency",127.0.0.1,Dennis,4,"10-03-2022 12:58:35",contact,"Contact form submitted successfully",LogMsg-229707,0.06869
"Low Urgency",127.0.0.1,guest,0,"15-03-2022 12:47:03",contact,"Contact form failed name: * Name cannot be empty Email: * Email cannot be empty Message: * Message cannot be empty",LogMsg-969766,0.08092
"Low Urgency",127.0.0.1,guest,0,"15-03-2022 12:47:06",contact,"Contact form failed name: Dennis Email: * Email cannot be empty Message: * Message cannot be empty",LogMsg-744550,0.0162
"Low Urgency",127.0.0.1,guest,0,"15-03-2022 12:47:59",contact,"Contact form failed name: Dennis Email: * Email cannot be empty Message: * Message cannot be empty",LogMsg-123470,0.03895
"Low Urgency",127.0.0.1,guest,0,"16-03-2022 15:13:48",contact,"Contact form failed name: * Name cannot be empty Email: * Email cannot be empty Message: * Message cannot be empty",LogMsg-776668,0.08431
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 09:18:39",contact,"Contact form failed name: Dennis Email: * Email cannot be empty Message: * Message cannot be empty",LogMsg-195714,0.03915
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 09:18:57",contact,"Contact form failed name: Dennis Email: * Email cannot be empty Message: * Message cannot be empty",LogMsg-573781,0.04742
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 10:00:36",contact,"Contact form failed name: * Name cannot be empty Email: * Email cannot be empty Message: * Message cannot be empty",LogMsg-419944,0.02696
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 10:00:39",contact,"Contact form failed name: * Name cannot be empty Email: * Email cannot be empty Message: aa",LogMsg-993207,0.01664
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 10:49:58",contact,"Contact form failed name: * Name cannot be empty Email: * Email cannot be empty Message: * Message cannot be empty",LogMsg-404650,0.04307
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 10:54:44",contact,"Contact form failed name: * Name cannot be empty Email: * Email cannot be empty Message: * Message cannot be empty",LogMsg-552583,0.02664
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 12:11:24",contact,"Contact form failed name: * Name cannot be empty Email: * Email cannot be empty Message: * Message cannot be empty",LogMsg-494861,0.02463
"Low Urgency",127.0.0.1,guest,0,"22-03-2022 08:46:25",contact,"Contact form failed name: * Name cannot be empty Email: * Email cannot be empty Message: * Message cannot be empty",LogMsg-168748,0.02862
"Low Urgency",127.0.0.1,guest,0,"22-03-2022 08:47:29",contact,"Contact form failed name: * Name cannot be empty Email: * Email cannot be empty Message: aa",LogMsg-936481,0.01817
"Low Urgency",127.0.0.1,guest,0,"22-03-2022 08:47:34",contact,"Contact form failed name: * Name cannot be empty Email: dennis@gmail.com Message: aa",LogMsg-412752,0.01735
"Low Urgency",127.0.0.1,guest,0,"22-03-2022 08:49:03",contact,"Contact form failed name: * Name cannot be empty Email: dennis@gmail.com Message: aa",LogMsg-890753,0.02361
