Type,IP,Name,ID,Time,Page,Message,LogNumber,TimeToLog
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:15",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-398797,0.08011
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:19",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-358454,0.01636
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:32",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-400820,0.01681
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:33",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-486996,0.01558
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:33",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-580629,0.01728
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:33",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-448043,0.01556
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:33",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-762427,0.02763
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:34",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-244601,0.01501
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:34",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-621004,0.01606
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:35",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-454662,0.01478
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:35",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-953891,0.01534
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:35",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-670392,0.0248
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:35",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-728535,0.0162
"Low Urgency",127.0.0.1,guest,0,"21-03-2022 08:11:35",register,"Registering failed name: * Name cannot be empty Email: * Email cannot be empty",LogMsg-842987,0.016
